Date,A,B,C,D,E,F
23/03/2023,68,6,48,23,8,49
24/03/2023,80,72,92,35,5,69
25/03/2023,83,91,31,93,82,12
26/03/2023,65,91,83,44,78,55
27/03/2023,76,21,4,79,5,96
28/03/2023,50,96,92,36,76,89
29/03/2023,68,52,99,53,19,20
30/03/2023,91,68,30,95,25,81
31/03/2023,7,10,86,3,25,1
01/04/2023,71,21,2,12,37,35
02/04/2023,43,67,11,98,68,76
03/04/2023,66,35,27,65,31,100
04/04/2023,85,79,58,43,20,10
05/04/2023,40,32,46,17,13,52
06/04/2023,8,19,33,29,59,87
07/04/2023,52,56,39,92,30,49
08/04/2023,51,50,57,41,63,82
09/04/2023,94,30,1,34,72,11
10/04/2023,1,68,77,4,81,67
11/04/2023,64,35,51,97,94,7
12/04/2023,24,64,2,10,50,8
13/04/2023,2,28,86,42,55,43
14/04/2023,20,42,93,6,67,34
15/04/2023,53,10,87,20,97,72
16/04/2023,13,48,50,15,66,80
17/04/2023,29,73,25,75,51,14
18/04/2023,60,21,80,74,74,13
19/04/2023,18,1,53,10,66,77
20/04/2023,41,45,2,82,64,97
21/04/2023,37,41,49,4,63,32
22/04/2023,53,40,94,90,71,46
23/04/2023,76,14,30,17,97,89
24/04/2023,76,54,97,66,56,82
25/04/2023,46,84,10,52,41,25
26/04/2023,50,81,87,21,18,65
27/04/2023,41,22,24,81,56,49
28/04/2023,21,36,15,30,77,48
29/04/2023,51,42,72,24,29,62
30/04/2023,21,50,73,12,47,91
01/05/2023,52,53,9,29,62,72
02/05/2023,36,27,65,41,84,96
03/05/2023,66,51,34,18,20,21
04/05/2023,5,94,49,31,86,3
05/05/2023,4,61,10,27,56,29
06/05/2023,100,52,60,68,93,71
07/05/2023,80,6,15,73,39,51
08/05/2023,86,45,22,81,71,32
09/05/2023,22,65,8,34,59,77
10/05/2023,57,45,3,97,14,46
11/05/2023,6,62,9,99,92,4
12/05/2023,50,44,72,2,86,28
13/05/2023,27,16,94,33,82,7
14/05/2023,27,69,58,87,4,22
15/05/2023,37,83,25,61,60,80
16/05/2023,12,30,37,58,93,82
17/05/2023,91,8,100,95,59,56
18/05/2023,94,96,60,56,40,14
19/05/2023,68,8,56,27,46,51
20/05/2023,43,5,55,79,63,93
21/05/2023,13,20,33,2,80,80
22/05/2023,24,81,36,74,43,51
23/05/2023,62,7,67,66,20,79
24/05/2023,67,4,72,52,100,29
25/05/2023,6,46,62,68,60,47
26/05/2023,64,58,32,71,55,37
27/05/2023,53,79,65,84,91,71
28/05/2023,43,69,93,80,78,82
29/05/2023,13,5,26,6,94,45
30/05/2023,48,70,24,1,28,84
31/05/2023,6,93,41,31,73,24
01/06/2023,74,58,92,95,42,47
02/06/2023,40,67,32,8,5,8
03/06/2023,7,95,37,83,44,68
04/06/2023,57,83,30,41,59,39
05/06/2023,95,73,83,56,58,6
06/06/2023,91,75,35,93,32,98
07/06/2023,9,67,56,78,11,80
08/06/2023,98,71,1,46,90,46
09/06/2023,72,47,40,16,17,55
10/06/2023,89,96,44,86,31,26
11/06/2023,86,81,93,42,98,82
12/06/2023,5,23,39,6,52,94
13/06/2023,66,84,78,96,90,72
14/06/2023,34,4,61,17,61,80
15/06/2023,86,71,83,87,29,34
16/06/2023,21,59,39,54,83,51
17/06/2023,44,36,42,15,18,60
18/06/2023,48,83,27,19,83,92
